,Unnamed: 0,Unnamed: 0.1,date,country,lang,content,label,id,translated_tweets,tokenized_content
357,357,357,2018-11-12 16:12:28+00:00,United Kingdom,en,@muslimah_han I used to live in that town.,2.0,,@muslimah_han I used to live in that town.,use live town
358,358,358,2019-03-27 20:34:46+00:00,Turkey,en,"Don't say, just show...
.
🌸🌸🌸
.
#deen #religion #love #life #faith #tauhid #islam #instaislam #pray #quran #dawah #jannah #ﷺ #ummah #istiqomah #prayer #beautiful #sunnah #reminder… https://t.co/3jj7hAfTnY",2.0,,"Don't say, just show...
.
🌸🌸🌸
.
#deen #religion #love #life #faith #tauhid #islam #instaislam #pray #quran #dawah #jannah #ﷺ #ummah #istiqomah #prayer #beautiful #sunnah #reminder… https://t.co/3jj7hAfTnY",say show cherry_blossom cherry_blossom cherry_blossom #deen #religion #love #life #faith #tauhid #islam #instaislam #pray #quran #dawah #jannah #ummah #istiqomah #prayer #beautiful #sunnah #reminder
359,359,359,2018-12-29 19:47:56+00:00,Bosnia and Herzegovina,en,"Mostar, Bosnia:
*mosque starts prayer*
""ALLAAAAHU AKH...""
*prayer rings through the entire town*
*church reacts with bells*
""DING DONG MOTHERFUCKERS, IT'S 6PM!!!""",2.0,,"Mostar, Bosnia:
*mosque starts prayer*
""ALLAAAAHU AKH...""
*prayer rings through the entire town*
*church reacts with bells*
""DING DONG MOTHERFUCKERS, IT'S 6PM!!!""",mostar bosnia mosque start prayer allaaahu akh prayer ring entire town church react bell ding dong motherfucker 6pm
360,360,360,2021-10-17 15:59:25+00:00,United Kingdom,en,"Pastors, Imams, politicians in Nigeria are just HYPOCRACY and Toying with Nigerians life, they all work hand in hand to rob Nigerians and Brainwashed most with religion bigotry 🤷‍♀️ https://t.co/7SjVYx32yh",2.0,,"Pastors, Imams, politicians in Nigeria are just HYPOCRACY and Toying with Nigerians life, they all work hand in hand to rob Nigerians and Brainwashed most with religion bigotry 🤷‍♀️ https://t.co/7SjVYx32yh",pastor imams politician nigeria hypocracy toy nigerian life work hand hand rob nigerian brainwash religion bigotry woman_shrugging
361,361,361,2021-11-30 14:24:16+00:00,United Kingdom,en,@Rashidessien10 @Squawka At least Lewandowski has more trophies what of Salah?,2.0,,@Rashidessien10 @Squawka At least Lewandowski has more trophies what of Salah?,least lewandowski trophy salah
362,362,362,2018-12-14 04:20:34+00:00,Denmark,en,This sample size for arguing against islamophobia seems pretty accurate.    Brilliant job Mr TF. (Pun intended) https://t.co/qwxiP81Few,2.0,,This sample size for arguing against islamophobia seems pretty accurate.    Brilliant job Mr TF. (Pun intended) https://t.co/qwxiP81Few,sample size argue islamophobia seem pretty accurate brilliant job pun intend
363,363,363,2021-04-04 14:30:32+00:00,United Kingdom,en,@NKrankie @MarianneSansum Any ideas for a collective noun for 130 Imams.,2.0,,@NKrankie @MarianneSansum Any ideas for a collective noun for 130 Imams.,idea collective noun imam
364,364,364,2018-12-30 07:04:33+00:00,Switzerland,de,"@oldares Dem schleichenden, durch alle Ritzen unserer Kultur einsickernden Islam öffnen feige schweiz- und kulturmüde Feiglinge mit vorauseilendem Gehorsam Tür und Tor - das Ziel wird die mittelfristige Übernahme der Scharia, Kinder- und Zwangsehen und dem archaischen Gottesstaat sein ... https://t.co/TKWKD1wGhF",1.0,,"@oldares To the creeping Islam seeping in through all cracks of our culture, cowardly Switzerland- and culture-weary cowards open door and gate with anticipatory obedience - the goal will be the medium-term adoption of Sharia, child- and forced marriages and the archaic God-state ... https://t.co/TKWKD1wGhF",creep islam seep crack culture cowardly switzerland culture-weary coward open door gate anticipatory obedience goal medium-term adoption sharia child force marriage archaic god-state
365,365,365,2018-12-12 22:32:49+00:00,United Kingdom,en,"@anduflas @griffnotts @Luketuc57920589 @McAllisterVFL @anthonyfjoshua @EditinKing Most Americans don't know anything about anything happening beyond their state of residence, how wld they know the new Mecca of boxing is no longer LV? Just saying... 😒",2.0,,"@anduflas @griffnotts @Luketuc57920589 @McAllisterVFL @anthonyfjoshua @EditinKing Most Americans don't know anything about anything happening beyond their state of residence, how wld they know the new Mecca of boxing is no longer LV? Just saying... 😒",american know anything anything happen beyond state residence wld know new mecca boxing longer say unamused_face
366,366,366,2021-11-09 17:01:27+00:00,Turkey,en,"11.MAKE DU'A AFTER STONING THE JAMARAT
for those that are lucky to visit Mecca for Hajji they can use this opportunity to make long Du'a after tonight as how the Prophet (SAW) used to.",2.0,,"11.MAKE DU'A AFTER STONING THE JAMARAT
for those that are lucky to visit Mecca for Hajji they can use this opportunity to make long Du'a after tonight as how the Prophet (SAW) used to.",11.make du'a stone jamarat lucky visit mecca hajji use opportunity make long du'a tonight prophet saw use
367,367,367,2021-11-25 16:04:05+00:00,United Kingdom,en,@davjam8 @AaronBastani WTF has this got to do with Islamophobia? Its just an old survey. Turning drama into crisis .,2.0,,@davjam8 @AaronBastani WTF has this got to do with Islamophobia? Its just an old survey. Turning drama into crisis .,wtf get islamophobia old survey turn drama crisis
368,368,368,2021-05-02 21:26:31+00:00,Turkey,en,"Bruh this should come from all imams, sheiks, During Khutba, in lectures, in Islamiyya in every where. We can not continue like this in north, May ALLAH Keep us Safe. Ameeeeen Ya Rabbal Alamin https://t.co/nXmINXcpQD",2.0,,"Bruh this should come from all imams, sheiks, During Khutba, in lectures, in Islamiyya in every where. We can not continue like this in north, May ALLAH Keep us Safe. Ameeeeen Ya Rabbal Alamin https://t.co/nXmINXcpQD",bruh come imams sheik khutba lecture islamiyya every continue like north may allah keep safe ameeen rabbal alamin
369,369,369,2018-05-26 18:16:16+00:00,Spain,en,Who in government is protecting muslim radicals .jihadis .hate preachers ?and why ?,2.0,,Who in government is protecting muslim radicals .jihadis .hate preachers ?and why ?,government protect muslim radical jihadis hate preacher
370,370,370,2021-10-08 11:36:44+00:00,United Kingdom,en,#NSS refers #Islamic charities to regulator following pro-Taliban lectures: https://t.co/rc4S7cTOz7 via @NatSecSoc,2.0,,#NSS refers #Islamic charities to regulator following pro-Taliban lectures: https://t.co/rc4S7cTOz7 via @NatSecSoc,#nss refers #islamic charity regulator follow pro-taliban lecture via
371,371,371,2018-11-18 16:50:01+00:00,United Kingdom,en,The man seriously needs to read from a script when he's in front of the world's press....🙈🙈🙈 #cringeworthy #trump #uninformed #inarticulate #saveamerica @richardlittleda @Thomsk56 https://t.co/RFA5pOEcuF,2.0,,The man seriously needs to read from a script when he's in front of the world's press....🙈🙈🙈 #cringeworthy #trump #uninformed #inarticulate #saveamerica @richardlittleda @Thomsk56 https://t.co/RFA5pOEcuF,man seriously need read script he's front world's press see-no-evil_monkey see-no-evil_monkey see-no-evil_monkey #cringeworthy #trump #uninformed #inarticulate #saveamerica
372,372,372,2017-11-11 22:36:47+00:00,Sweden,en,My number one fans ❤️❤️😍⚽️🙏🏿 #alhamdulillahforeverything❤️ #familyfirst #bestfanintheworld… https://t.co/5mvvw0oP1G,2.0,,My number one fans ❤️❤️😍⚽️🙏🏿 #alhamdulillahforeverything❤️ #familyfirst #bestfanintheworld… https://t.co/5mvvw0oP1G,number one fan red_heart red_heart smiling_face_with_heart-eyes soccer_ball folded_hands_dark_skin_tone #alhamdulillahforeverything red_heart #familyfirst #bestfanintheworld
373,373,373,2020-09-08 05:41:02+00:00,United Kingdom,en,"GRAB A BARGAIN

Temara Sheer Striped Kimono perfect for last minute vacations and the warm weather.

#abayasboutique #abayas #abayafashion #hijab #abayalife #mydubai #abayastyle… https://t.co/8uBa09MH7z",2.0,,"GRAB A BARGAIN

Temara Sheer Striped Kimono perfect for last minute vacations and the warm weather.

#abayasboutique #abayas #abayafashion #hijab #abayalife #mydubai #abayastyle… https://t.co/8uBa09MH7z",grab bargain temara sheer strip kimono perfect last minute vacation warm weather #abayasboutique #abayas #abayafashion #hijab #abayalife #mydubai #abayastyle
374,374,374,2019-02-24 18:55:06+00:00,United Kingdom,en,"@GeorgeAylett @LibDems @ken4london @DegsyHatton @jeremycorbyn . #Corbyn a #Socialist who's brought in @CPBritain advisers in a #socialdemocrat party and hijacked a #moderate #centreleft party and filled it with #extremists
No one in #UK will vote in an #extremist party
I feel sorry for @tom_watson who thinks he can curtail @PeoplesMomentum",2.0,,"@GeorgeAylett @LibDems @ken4london @DegsyHatton @jeremycorbyn . #Corbyn a #Socialist who's brought in @CPBritain advisers in a #socialdemocrat party and hijacked a #moderate #centreleft party and filled it with #extremists
No one in #UK will vote in an #extremist party
I feel sorry for @tom_watson who thinks he can curtail @PeoplesMomentum",#corbyn #socialist who's bring adviser #socialdemocrat party hijacked #moderate #centreleft party fill #extremists one #uk vote #extremist party feel sorry think curtail
375,375,375,2018-10-06 09:29:47+00:00,Turkey,en,"Panel 2: ""Envisioning the Future of #Islamic #Civilization in Historical Perspective"", with Prof. Dr. Heba Ezzat, Prof. Dr. Abdullahil Ahsan &amp; Prof. @zahitatcil
Moderator: Prof. Ahmet Alibasic https://t.co/X3N4rK7884",2.0,,"Panel 2: ""Envisioning the Future of #Islamic #Civilization in Historical Perspective"", with Prof. Dr. Heba Ezzat, Prof. Dr. Abdullahil Ahsan &amp; Prof. @zahitatcil
Moderator: Prof. Ahmet Alibasic https://t.co/X3N4rK7884",panel envision future #islamic #civilization historical perspective prof heba ezzat prof abdullahil ahsan prof moderator prof ahmet alibasic
376,376,376,2018-12-21 12:51:48+00:00,United Kingdom,en,"@BorisJohnson I love how you’re getting away with islamophobia specifically because of the privileged bubble you live in. 

You do know that a growing majority of British/Foreigners sees you as a party clown with no political competence whatsoever, don’t you?",0.0,,"@BorisJohnson I love how you’re getting away with islamophobia specifically because of the privileged bubble you live in. 

You do know that a growing majority of British/Foreigners sees you as a party clown with no political competence whatsoever, don’t you?",love get away islamophobia specifically privileged bubble live know grow majority british foreigner see party clown political competence whatsoever
377,377,377,2020-01-19 19:58:42+00:00,Norway,en,"My birthday was so memorable and beautiful, MashAllah 😍 Thank you so so much everyone who has made this day so special for me. It means a lot and warms my heart ♥🥰🥰

.
.
.
.
.
.
.

#MashAllah #Blessed #Birthday… https://t.co/Ltluu7Q51L",2.0,,"My birthday was so memorable and beautiful, MashAllah 😍 Thank you so so much everyone who has made this day so special for me. It means a lot and warms my heart ♥🥰🥰

.
.
.
.
.
.
.

#MashAllah #Blessed #Birthday… https://t.co/Ltluu7Q51L",birthday memorable beautiful mashallah smiling_face_with_heart-eyes thank much everyone make day special mean lot warms heart heart_suit smiling_face_with_hearts smiling_face_with_hearts #mashallah #blessed #birthday
378,378,378,2021-11-27 17:22:04+00:00,United Kingdom,en,Islamic State down but not out in Syria and Iraq because of Turkish government’s support: Pentagon report https://t.co/nMXrjfYKiS via @AlMonitor,2.0,,Islamic State down but not out in Syria and Iraq because of Turkish government’s support: Pentagon report https://t.co/nMXrjfYKiS via @AlMonitor,islamic state syria iraq turkish government support pentagon report via
379,379,379,2018-08-18 12:09:56+00:00,United Kingdom,en,@smshaha Its beautiful! I miss Makkah so much!,2.0,,@smshaha Its beautiful! I miss Makkah so much!,beautiful miss makkah much
380,380,380,2021-11-30 14:42:23+00:00,United Kingdom,en,"@gemma_smith21 @MoSalah @VirgilvDijk Have a boss birthday Gemma, as I said…you are one of our ultimate favourite customers, not least one of our most loyal! Have the best best day xx",2.0,,"@gemma_smith21 @MoSalah @VirgilvDijk Have a boss birthday Gemma, as I said…you are one of our ultimate favourite customers, not least one of our most loyal! Have the best best day xx",boss birthday gemma say one ultimate favourite customer least one loyal best best day
381,381,381,2018-06-27 18:00:48+00:00,United Kingdom,en,"Mashallah! My #girlfriend thinks I need to relax more ans not stress about things too much, do you agree with @fatima_khanpk ?
#Mashallah #london #family #timeout #chilling #legoland… https://t.co/9jqLE5ZTO4",2.0,,"Mashallah! My #girlfriend thinks I need to relax more ans not stress about things too much, do you agree with @fatima_khanpk ?
#Mashallah #london #family #timeout #chilling #legoland… https://t.co/9jqLE5ZTO4",mashallah #girlfriend think need relax stress thing much agree #mashallah #london #family #timeout #chilling #legoland
382,382,382,2018-12-30 18:26:03+00:00,The Netherlands,en,"@Muhamma51580585 @geertwilderspvv @ImranKhanPTI Islam and peace!
#nomoreislam
#StopIslam 
#Islamisviolence
#Islamishatred
mohammed is a pedophilia",1.0,,"@Muhamma51580585 @geertwilderspvv @ImranKhanPTI Islam and peace!
#nomoreislam
#StopIslam 
#Islamisviolence
#Islamishatred
mohammed is a pedophilia",islam peace #nomoreislam #stopislam #islamisviolence #islamishatred mohammed pedophilia
383,383,383,2018-12-15 09:44:36+00:00,United Kingdom,en,"Out of interest Rachel, do you believe there is a problem with islamophobia in the Tory party?
Also what are your thoughts on Theresa May restoring the Whip to 2 MPs facing sexual conduct investigations?
I’m guessing double-standards might be at play here! https://t.co/BhUCLHQKGS",2.0,,"Out of interest Rachel, do you believe there is a problem with islamophobia in the Tory party?
Also what are your thoughts on Theresa May restoring the Whip to 2 MPs facing sexual conduct investigations?
I’m guessing double-standards might be at play here! https://t.co/BhUCLHQKGS",interest rachel believe problem islamophobia tory party also thought theresa may restore whip mp face sexual conduct investigation guess double-standards might play
384,384,384,2015-10-31 17:40:43+00:00,Germany,en,"Why do we expect easy tests 4rm Allah, when the ProphetMuhammad (PBUH), promised of Jannah, spent all his lyf in constant hardship n poverty",2.0,,"Why do we expect easy tests 4rm Allah, when the ProphetMuhammad (PBUH), promised of Jannah, spent all his lyf in constant hardship n poverty",expect easy test 4rm allah prophetmuhammad pbuh promise jannah spent lyf constant hardship poverty
385,385,385,2018-12-14 23:00:00+00:00,United Kingdom,en,"Outrageous act of hate! Whether it is a #Jewish #cemetery or #Muslim #mosque or a #Christian  #church, when they are vandalised, we are all violated.

#HateCrime #Antisemitism #StrongerTogether #Strasbourg #Aston_AMS @aston_union https://t.co/k6pG1TIO9A",2.0,,"Outrageous act of hate! Whether it is a #Jewish #cemetery or #Muslim #mosque or a #Christian  #church, when they are vandalised, we are all violated.

#HateCrime #Antisemitism #StrongerTogether #Strasbourg #Aston_AMS @aston_union https://t.co/k6pG1TIO9A",outrageous act hate whether #jewish #cemetery #muslim #mosque #christian #church vandalise violated #hatecrime #antisemitism #strongertogether #strasbourg #aston_ams
386,386,386,2020-11-14 10:40:04+00:00,United Kingdom,en,"Part 13 - The Story of Prophet Muhammad (ص):
Trade, Marriage and the House of Khadija - (ر)

- with Ustadh Hamid 
- 5.00pm
- Wednesday 18th Nov

Click to save reminder 👇🏿

https://t.co/t7FmJ3zBr0

#sirah #ProphetMuhammad #Trade #Marriage #HouseOfKhadija https://t.co/HDMkepHnp0",2.0,,"Part 13 - The Story of Prophet Muhammad (ص):
Trade, Marriage and the House of Khadija - (ر)

- with Ustadh Hamid 
- 5.00pm
- Wednesday 18th Nov

Click to save reminder 👇🏿

https://t.co/t7FmJ3zBr0

#sirah #ProphetMuhammad #Trade #Marriage #HouseOfKhadija https://t.co/HDMkepHnp0",part story prophet muhammad trade marriage house khadija ustadh hamid wednesday 18th nov click save reminder backhand_index_pointing_down_dark_skin_tone #sirah #prophetmuhammad #trade #marriage #houseofkhadija
387,387,387,2018-12-18 11:57:36+00:00,United Kingdom,en,mashallah the girls here 😭😍,2.0,,mashallah the girls here 😭😍,mashallah girl loudly_crying_face smiling_face_with_heart-eyes
388,388,388,2018-02-22 16:23:52+00:00,United Kingdom,en,"Never thought I’d get to work in Mecca (bingo)

#mecca #meccabingo #archaeology #archaeologist… https://t.co/Yz64qxxNRM",2.0,,"Never thought I’d get to work in Mecca (bingo)

#mecca #meccabingo #archaeology #archaeologist… https://t.co/Yz64qxxNRM",never think get work mecca bingo #mecca #meccabingo #archaeology #archaeologist
389,389,389,2021-11-11 18:16:03+00:00,United Kingdom,en,Back to back Player of the Month awards for the one season wonder #salah #lfc https://t.co/uqWtyaUrh3,2.0,,Back to back Player of the Month awards for the one season wonder #salah #lfc https://t.co/uqWtyaUrh3,back back player month award one season wonder #salah #lfc
390,390,390,2021-11-18 22:29:56+00:00,United Kingdom,en,"@tartini_sonata @SAK_Inayah @MecrantB @mohammed_hijab @DouglasKMurray @RichardDawkins Why not?

If your religion is as perfect as you say it is, what risk would a mortal atheist pose to your faith?",2.0,,"@tartini_sonata @SAK_Inayah @MecrantB @mohammed_hijab @DouglasKMurray @RichardDawkins Why not?

If your religion is as perfect as you say it is, what risk would a mortal atheist pose to your faith?",religion perfect say risk would mortal atheist pose faith
391,391,391,2021-09-20 11:21:32+00:00,United Kingdom,en,#Gaza artist mixes beauty with pain in her ballet paintings https://t.co/1fUICbvSgt,2.0,,#Gaza artist mixes beauty with pain in her ballet paintings https://t.co/1fUICbvSgt,#gaza artist mix beauty pain ballet painting
392,392,392,2021-06-10 17:16:36+00:00,Norway,en,"Building new schools &lt; Digging terror tunnels

Protecting civilians &lt; Producing lethal weapons

Promoting housing projects for the people of #Gaza &lt; building McMansions for Hamas leaders

#Hamas terrorists pose the greatest threat to Gaza's prosperity.

https://t.co/IGjaFxwGJw",2.0,,"Building new schools &lt; Digging terror tunnels

Protecting civilians &lt; Producing lethal weapons

Promoting housing projects for the people of #Gaza &lt; building McMansions for Hamas leaders

#Hamas terrorists pose the greatest threat to Gaza's prosperity.

https://t.co/IGjaFxwGJw",build new school dig terror tunnel protect civilian produce lethal weapon promote housing project people #gaza building mcmansions hamas leader #hamas terrorist pose great threat gaza's prosperity
393,393,393,2017-03-11 12:43:19+00:00,United Kingdom,en,"Alhamdulilah we have set up in #Leicester city centre today calling to the correct understanding of #Islam 

#Quran #Sunnah #Salafiyyah https://t.co/Jl9lDLhfPi",2.0,,"Alhamdulilah we have set up in #Leicester city centre today calling to the correct understanding of #Islam 

#Quran #Sunnah #Salafiyyah https://t.co/Jl9lDLhfPi",alhamdulilah set #leicester city centre today call correct understand #islam #quran #sunnah #salafiyyah
394,394,394,2020-11-10 14:36:08+00:00,United Kingdom,en,"• When the sweetness of Eemaan enters a person.
• Taken from 'Loving the Messenger, between Sunnah and Bidah.'
• Full Lecture here: https://t.co/9UPne3gvmB
• Ustadh Abul Abbas Naveed Ayaaz.
• Sunday 25th October 2020.
• 1/2. 

#Allah #Muhammad #Sahabah #Salaf #Ummah #UK https://t.co/h5Yg2ywXu8",2.0,,"• When the sweetness of Eemaan enters a person.
• Taken from 'Loving the Messenger, between Sunnah and Bidah.'
• Full Lecture here: https://t.co/9UPne3gvmB
• Ustadh Abul Abbas Naveed Ayaaz.
• Sunday 25th October 2020.
• 1/2. 

#Allah #Muhammad #Sahabah #Salaf #Ummah #UK https://t.co/h5Yg2ywXu8",sweetness eemaan enters person take love messenger sunnah bidah full lecture ustadh abul abbas naveed ayaaz sunday 25th october #allah #muhammad #sahabah #salaf #ummah #uk
395,395,395,2021-10-11 12:15:38+00:00,United Kingdom,en,MY FIRST EXPERIENCE IN CHURCH! https://t.co/LxFhFDFX4y via @YouTube #church #christian,2.0,,MY FIRST EXPERIENCE IN CHURCH! https://t.co/LxFhFDFX4y via @YouTube #church #christian,first experience church via #church #christian
396,396,396,2018-12-26 18:25:14+00:00,United Kingdom,en,@khalidahmadacma @BaitulGhafoor Mashallah lovely! But I’m trying to work out why I’m not in the photo! 😅,2.0,,@khalidahmadacma @BaitulGhafoor Mashallah lovely! But I’m trying to work out why I’m not in the photo! 😅,mashallah lovely try work photo grinning_face_with_sweat
397,397,397,2020-10-04 22:15:42+00:00,United Kingdom,en,"Instagram is showing me hijab 🧕🏻 tutorial. 

Bro show that to behaya 👧 

#hijab #muslims #meme",2.0,,"Instagram is showing me hijab 🧕🏻 tutorial. 

Bro show that to behaya 👧 

#hijab #muslims #meme",instagram show hijab woman_with_headscarf_light_skin_tone tutorial bro show behaya girl #hijab #muslims #meme
398,398,398,2018-12-13 09:56:15+00:00,United Kingdom,en,"Home of the famous Brontë sisters, Haworth is an undisputed literary mecca! (📸 IG davez_uk) https://t.co/7itZO4w3DP",2.0,,"Home of the famous Brontë sisters, Haworth is an undisputed literary mecca! (📸 IG davez_uk) https://t.co/7itZO4w3DP",home famous brontë sister haworth undisputed literary mecca camera_with_flash davez_uk
399,399,399,2021-11-15 00:27:18+00:00,United Kingdom,en,"Don't Be Angry https://t.co/GeZvneUpDu

#Islam #Mawlana #NahdlatulUlama #Naqshbandi #NaqshbandiHaqqani #ShaykhNazim #Sufilive #Sufism https://t.co/N5dexM19ym",2.0,,"Don't Be Angry https://t.co/GeZvneUpDu

#Islam #Mawlana #NahdlatulUlama #Naqshbandi #NaqshbandiHaqqani #ShaykhNazim #Sufilive #Sufism https://t.co/N5dexM19ym",angry #islam #mawlana #nahdlatululama #naqshbandi #naqshbandihaqqani #shaykhnazim #sufilive #sufism
400,400,400,2021-11-28 22:58:26+00:00,Greece,en,"@Birolka77483794 @obai1d @HSajwanization Both Christians and Muslims study the prophecies of the Jewish prophets, the Jewish book of genesis, the 10 commandments given to Moses etc Their teachings had a huge impact to humanity.",2.0,,"@Birolka77483794 @obai1d @HSajwanization Both Christians and Muslims study the prophecies of the Jewish prophets, the Jewish book of genesis, the 10 commandments given to Moses etc Their teachings had a huge impact to humanity.",christian muslim study prophecy jewish prophet jewish book genesis commandment give moses etc teaching huge impact humanity
401,401,401,2021-10-18 09:10:18+00:00,Germany,de,"Heute vor 10 Jahren kam #GiladShalit nach über 5 Jahren in Geiselhaft der #Hamas frei. 

Er war am 25. Juni 2006 von der Hamas entführt und nach #Gaza verschleppt worden. Während seiner Gefangenschaft hatte er keinen Kontakt zur Außenwelt und sah die Sonne nicht.

#OnThisDay https://t.co/4BQAUrjOBU",2.0,,"10 years ago today #GiladShalit was released after more than 5 years in #Hamas hostage. 

He had been kidnapped by Hamas on June 25, 2006 and taken to #Gaza. During his captivity he had no contact with the outside world and did not see the sun.

#OnThisDay https://t.co/4BQAUrjOBU",year ago today #giladshalit release year #hamas hostage kidnap hamas june take #gaza captivity contact outside world see sun #onthisday
402,402,402,2021-11-29 23:31:12+00:00,United Kingdom,en,Salah and Mbappe battling it out every year &gt;&gt;&gt; https://t.co/NOLRzR0UKy,2.0,,Salah and Mbappe battling it out every year &gt;&gt;&gt; https://t.co/NOLRzR0UKy,salah mbappe battle every year
403,403,403,2021-11-28 20:17:50+00:00,The Netherlands,en,"then Allah Raises the bar of the climatic war causing floods, fragments of sky mountains loaded with lethal hail,tsunamis, and fiery hurricanes to burn forests.
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/iEGGMDoU0s
16
#Torment_Planet_Has_Neared
 Omicron
DsBaBJ",2.0,,"then Allah Raises the bar of the climatic war causing floods, fragments of sky mountains loaded with lethal hail,tsunamis, and fiery hurricanes to burn forests.
Imam Nasser Mohammed Al-Yamani
14-10-2021
https://t.co/iEGGMDoU0s
16
#Torment_Planet_Has_Neared
 Omicron
DsBaBJ",allah raise bar climatic war cause flood fragment sky mountain load lethal hail tsunami fiery hurricane burn forest imam nasser mohammed al-yamani #torment_planet_has_neared omicron dsbabj
404,404,404,2020-07-23 14:27:43+00:00,United Kingdom,en,"NEW UPLOAD!

• Can someone fast on all 9 nine days of Dhul Hijjah?
• https://t.co/yPMC5HKmIP
• Ustadh Abu Suhaib al-Bassam.
• Monday 20th July 2020.

#Fasting #DhulHijjah #Hajj #Umrah #Udhiyyah #Qurbani #Sheep #Lamb #Cow #Camel #Makkah #Madinah #Hajj #Tawaf #Mina #Arafat #KSA",2.0,,"NEW UPLOAD!

• Can someone fast on all 9 nine days of Dhul Hijjah?
• https://t.co/yPMC5HKmIP
• Ustadh Abu Suhaib al-Bassam.
• Monday 20th July 2020.

#Fasting #DhulHijjah #Hajj #Umrah #Udhiyyah #Qurbani #Sheep #Lamb #Cow #Camel #Makkah #Madinah #Hajj #Tawaf #Mina #Arafat #KSA",new upload someone fast nine day dhul hijjah ustadh abu suhaib al-bassam monday 20th july #fasting #dhulhijjah #hajj #umrah #udhiyyah #qurbani #sheep #lamb #cow #camel #makkah #madinah #hajj #tawaf #mina #arafat #ksa
405,405,405,2017-11-24 22:56:16+00:00,United Kingdom,en,"The std response of ""Oh we are on their land"" cannot apply here. This was murder. #extremists #murderers 

Egypt attack: Gunmen kill 235 in Sinai mosque - https://t.co/q8FM0Kz0Zt",2.0,,"The std response of ""Oh we are on their land"" cannot apply here. This was murder. #extremists #murderers 

Egypt attack: Gunmen kill 235 in Sinai mosque - https://t.co/q8FM0Kz0Zt",std response land cannot apply murder #extremists #murderers egypt attack gunman kill sinai mosque
406,406,406,2017-12-11 01:17:18+00:00,United Kingdom,en,Won the #BestTvHostoftheyearAward in #9thpakistanachievementawardslondon Yay!!! 🎉 OMG!!!! #FirstAward #alhamdulillah #blessed Thank you #Ptvhome #lovingit Thank you so much for ur love 💕 #MashAllah Thank you Mr. Haq @dailyuktimes https://t.co/sygOO8eYeP,2.0,,Won the #BestTvHostoftheyearAward in #9thpakistanachievementawardslondon Yay!!! 🎉 OMG!!!! #FirstAward #alhamdulillah #blessed Thank you #Ptvhome #lovingit Thank you so much for ur love 💕 #MashAllah Thank you Mr. Haq @dailyuktimes https://t.co/sygOO8eYeP,win #besttvhostoftheyearaward #9thpakistanachievementawardslondon yay arty_popper omg #firstaward #alhamdulillah #blessed thank #ptvhome #lovingit thank much love two_hearts #mashallah thank haq
407,407,407,2021-11-30 12:08:53+00:00,United Kingdom,en,Absolutely devastated and shocked to hear about the sudden death of our dear colleague  and friend @asimthechemist One of our pharmacy gems and a shining star. you were a force to be reckoned with. We will miss you deeply. May Allah grant you the highest ranks in jannah 💔 https://t.co/8ncSvn9MzR,2.0,,Absolutely devastated and shocked to hear about the sudden death of our dear colleague  and friend @asimthechemist One of our pharmacy gems and a shining star. you were a force to be reckoned with. We will miss you deeply. May Allah grant you the highest ranks in jannah 💔 https://t.co/8ncSvn9MzR,absolutely devastate shock hear sudden death dear colleague friend one pharmacy gem shin star force reckon miss deeply may allah grant high rank jannah broken_heart
408,408,408,2020-11-07 09:23:02+00:00,Germany,de,"KINDERPORNOGRAFIE / PÄDOPHILIE auf Twitter! Dagegen geht man nicht so rigoros vor wie gegen QAnon, warum nicht?? 
#GAYKIDS ! 🤮
#ThesePeopleAreSick #antifa #Kinder #Kindergarten #unity2020 #Q17 #ProphetMuhammad #AlarmstufeRot #DumpTrump #le0611 #Leipzig #Leipzig0711 #Pandemie https://t.co/wCU7ZTh7oQ",2.0,,"CHILDREN'S PORNOGRAPHY / PAEDOPHILY on Twitter! You don't go against this as rigorously as you do QAnon, why not??? 
#GAYKIDS ! 🤮
#ThesePeopleAreSick #antifa #children #kindergarten #unity2020 #Q17 #ProphetMuhammad #AlertRed #DumpTrump #le0611 #Leipzig #Leipzig0711 #pandemic https://t.co/wCU7ZTh7oQ",children's pornography paedophily twitter rigorously qanon #gaykids face_vomiting #thesepeoplearesick #antifa #children #kindergarten #unity2020 #q17 #prophetmuhammad #alertred #dumptrump #le0611 #leipzig #leipzig0711 #pandemic
409,409,409,2021-11-28 20:23:33+00:00,The Netherlands,en,"I divide them as follows:
18000000000 ÷360000= 50000 year of Allah's years in the Book since the beginning of the date of the eon and month on Friday.
Imam Nasser Mohammed Al-Yamani
14-10-2021
#Torment_Planet_Has_Neared
 Omicron
qxxA&amp;5",2.0,,"I divide them as follows:
18000000000 ÷360000= 50000 year of Allah's years in the Book since the beginning of the date of the eon and month on Friday.
Imam Nasser Mohammed Al-Yamani
14-10-2021
#Torment_Planet_Has_Neared
 Omicron
qxxA&amp;5",divide follow year allah's year book since begin date eon month friday imam nasser mohammed al-yamani #torment_planet_has_neared omicron qxxa
